Dream,Title,Sentiment,Sentiment_Score,Emotion,Word_Count,Season,Dominant_Activity,Cluster,Cluster_Name,Lucid,Date,Symbols,Anxiety_Category
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.22,Fear,24,Winter,Running,0,Performance Anxiety,No,2025-08-01,"exam, schools, maze, late, corridors",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.57,Surprise,25,Spring,Talking,2,Relational Connection,No,2025-08-01,"coffee, talking, celebrity, friend",Social Isolation
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Positive,0.48,Joy,21,Fall,Falling,3,Flight & Escape,No,2025-08-01,"falling, building, skyscraper, heights",Loss of Control
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Positive,0.54,Joy,15,Fall,Falling,3,Flight & Escape,Yes,2025-08-01,"falling, building, skyscraper, heights",Loss of Control
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.4,Sadness,15,Winter,Observing,1,Existential Transformation,No,2025-08-02,"room, crying, lost, death, empty",Social Isolation
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Neutral,0.01,Neutral,21,Winter,Observing,1,Existential Transformation,No,2025-08-02,"room, crying, lost, death, empty",Social Isolation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.82,Fear,29,Fall,Observing,0,Performance Anxiety,No,2025-08-02,"exams, schools, test, classroom",Academic Pressure
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.81,Fear,19,Summer,Observing,0,Performance Anxiety,No,2025-08-02,"exams, schools, test, classroom",Academic Pressure
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.88,Fear,20,Summer,Running,0,Performance Anxiety,Yes,2025-08-02,"monster, forest, chased, running, shadow",Loss of Control
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.67,Joy,24,Winter,Talking,2,Relational Connection,No,2025-08-02,"garden, family, partners, talking, flowers",Relationship Instability
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.69,Fear,22,Summer,Falling,3,Flight & Escape,No,2025-08-02,"falling, building, skyscraper, heights",Loss of Control
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.38,Anger,16,Winter,Running,0,Performance Anxiety,No,2025-08-02,"exam, schools, maze, late, corridors",Career Uncertainty
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.26,Fear,26,Winter,Observing,1,Existential Transformation,No,2025-08-02,"teeth, falling, mirror, body",Identity Transformation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.76,Surprise,15,Fall,Talking,2,Relational Connection,No,2025-08-02,"coffee, talking, celebrity, friend",Social Isolation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.41,Anger,14,Winter,Running,0,Performance Anxiety,No,2025-08-02,"exam, schools, maze, late, corridors",Career Uncertainty
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.54,Sadness,16,Summer,Observing,1,Existential Transformation,No,2025-08-02,"room, crying, lost, death, empty",Social Isolation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.49,Fear,26,Fall,Observing,0,Performance Anxiety,No,2025-08-02,"exams, schools, test, classroom",Academic Pressure
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.39,Fear,17,Spring,Falling,3,Flight & Escape,No,2025-08-02,"falling, building, skyscraper, heights",Loss of Control
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.17,Fear,21,Summer,Running,0,Performance Anxiety,No,2025-08-02,"monster, forest, chased, running, shadow",Loss of Control
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.49,Fear,26,Fall,Running,0,Performance Anxiety,No,2025-08-02,"monster, forest, chased, running, shadow",Loss of Control
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.72,Sadness,25,Fall,Observing,1,Existential Transformation,No,2025-08-02,"room, crying, lost, death, empty",Social Isolation
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Neutral,-0.01,Neutral,18,Winter,Falling,3,Flight & Escape,Yes,2025-08-02,"falling, building, skyscraper, heights",Loss of Control
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.92,Joy,25,Fall,Talking,2,Relational Connection,No,2025-08-02,"coffee, talking, celebrity, friend",Social Isolation
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.26,Fear,15,Summer,Falling,3,Flight & Escape,No,2025-08-02,"falling, building, skyscraper, heights",Loss of Control
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.53,Surprise,22,Spring,Talking,2,Relational Connection,Yes,2025-08-02,"coffee, talking, celebrity, friend",Social Isolation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.31,Fear,15,Winter,Running,0,Performance Anxiety,No,2025-08-02,"trains, car, brakes, mountain, speed",Career Uncertainty
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Positive,0.52,Joy,18,Summer,Running,0,Performance Anxiety,No,2025-08-02,"monster, forest, chased, running, shadow",Loss of Control
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.94,Fear,14,Winter,Falling,3,Flight & Escape,No,2025-08-02,"falling, building, skyscraper, heights",Loss of Control
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.35,Fear,27,Fall,Running,0,Performance Anxiety,Yes,2025-08-02,"monster, forest, chased, running, shadow",Loss of Control
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.21,Fear,18,Fall,Running,0,Performance Anxiety,No,2025-08-02,"trains, car, brakes, mountain, speed",Career Uncertainty
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.8,Fear,22,Winter,Running,0,Performance Anxiety,No,2025-08-02,"trains, car, brakes, mountain, speed",Career Uncertainty
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.66,Joy,22,Summer,Flying,3,Flight & Escape,No,2025-08-02,"flying, ocean, water, sky",Identity Transformation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.83,Fear,19,Spring,Observing,0,Performance Anxiety,Yes,2025-08-02,"exams, schools, test, classroom",Academic Pressure
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.69,Anger,20,Spring,Running,0,Performance Anxiety,No,2025-08-02,"exam, schools, maze, late, corridors",Career Uncertainty
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.87,Anger,21,Summer,Running,0,Performance Anxiety,No,2025-08-02,"exam, schools, maze, late, corridors",Career Uncertainty
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Neutral,0.02,Neutral,21,Winter,Observing,1,Existential Transformation,No,2025-08-02,"room, crying, lost, death, empty",Social Isolation
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.56,Fear,17,Spring,Falling,3,Flight & Escape,No,2025-08-02,"falling, building, skyscraper, heights",Loss of Control
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.49,Surprise,22,Fall,Flying,3,Flight & Escape,No,2025-08-02,"flying, ocean, water, sky",Identity Transformation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.2,Fear,26,Winter,Observing,0,Performance Anxiety,No,2025-08-02,"exams, schools, test, classroom",Academic Pressure
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.52,Joy,11,Fall,Flying,3,Flight & Escape,No,2025-08-02,"flying, ocean, water, sky",Identity Transformation
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.28,Sadness,24,Spring,Observing,1,Existential Transformation,No,2025-08-02,"room, crying, lost, death, empty",Social Isolation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.53,Fear,24,Spring,Running,0,Performance Anxiety,No,2025-08-02,"trains, car, brakes, mountain, speed",Career Uncertainty
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.7,Fear,24,Summer,Observing,0,Performance Anxiety,Yes,2025-08-02,"exams, schools, test, classroom",Academic Pressure
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.82,Fear,21,Spring,Falling,3,Flight & Escape,Yes,2025-08-02,"falling, building, skyscraper, heights",Loss of Control
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.57,Fear,16,Winter,Observing,1,Existential Transformation,No,2025-08-02,"teeth, falling, mirror, body",Identity Transformation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.16,Fear,21,Spring,Running,0,Performance Anxiety,Yes,2025-08-02,"trains, car, brakes, mountain, speed",Career Uncertainty
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.26,Fear,15,Fall,Falling,3,Flight & Escape,No,2025-08-03,"falling, building, skyscraper, heights",Loss of Control
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.47,Fear,24,Winter,Observing,0,Performance Anxiety,No,2025-08-03,"exams, schools, test, classroom",Academic Pressure
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.8,Joy,17,Winter,Talking,2,Relational Connection,No,2025-08-03,"garden, family, partners, talking, flowers",Relationship Instability
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.81,Fear,18,Spring,Running,0,Performance Anxiety,No,2025-08-03,"monster, forest, chased, running, shadow",Loss of Control
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.65,Fear,19,Fall,Observing,1,Existential Transformation,No,2025-08-03,"teeth, falling, mirror, body",Identity Transformation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.78,Joy,22,Summer,Talking,2,Relational Connection,No,2025-08-03,"garden, family, partners, talking, flowers",Relationship Instability
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Positive,0.87,Joy,23,Fall,Running,0,Performance Anxiety,No,2025-08-03,"monster, forest, chased, running, shadow",Loss of Control
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.15,Anger,24,Fall,Running,0,Performance Anxiety,No,2025-08-03,"exam, schools, maze, late, corridors",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.43,Surprise,15,Winter,Talking,2,Relational Connection,No,2025-08-03,"coffee, talking, celebrity, friend",Social Isolation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.76,Joy,16,Fall,Flying,3,Flight & Escape,No,2025-08-03,"flying, ocean, water, sky",Identity Transformation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.66,Surprise,19,Spring,Talking,2,Relational Connection,No,2025-08-03,"coffee, talking, celebrity, friend",Social Isolation
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.72,Fear,20,Winter,Observing,1,Existential Transformation,No,2025-08-03,"teeth, falling, mirror, body",Identity Transformation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.74,Joy,18,Fall,Flying,3,Flight & Escape,Yes,2025-08-03,"flying, ocean, water, sky",Identity Transformation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.37,Fear,20,Spring,Observing,0,Performance Anxiety,No,2025-08-03,"exams, schools, test, classroom",Academic Pressure
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.65,Joy,22,Summer,Flying,3,Flight & Escape,No,2025-08-03,"flying, ocean, water, sky",Identity Transformation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.94,Surprise,19,Spring,Talking,2,Relational Connection,No,2025-08-03,"coffee, talking, celebrity, friend",Social Isolation
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.57,Fear,20,Spring,Running,0,Performance Anxiety,No,2025-08-03,"monster, forest, chased, running, shadow",Loss of Control
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.78,Anger,18,Summer,Running,0,Performance Anxiety,Yes,2025-08-03,"exam, schools, maze, late, corridors",Career Uncertainty
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.54,Fear,20,Winter,Running,0,Performance Anxiety,No,2025-08-03,"monster, forest, chased, running, shadow",Loss of Control
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.89,Fear,19,Summer,Falling,3,Flight & Escape,No,2025-08-03,"falling, building, skyscraper, heights",Loss of Control
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.29,Fear,29,Spring,Observing,0,Performance Anxiety,No,2025-08-03,"exams, schools, test, classroom",Academic Pressure
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.8,Joy,15,Spring,Flying,3,Flight & Escape,No,2025-08-03,"flying, ocean, water, sky",Identity Transformation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.16,Anger,19,Spring,Running,0,Performance Anxiety,No,2025-08-03,"exam, schools, maze, late, corridors",Career Uncertainty
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.26,Fear,15,Spring,Observing,1,Existential Transformation,No,2025-08-03,"teeth, falling, mirror, body",Identity Transformation
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.18,Sadness,18,Summer,Observing,1,Existential Transformation,No,2025-08-03,"room, crying, lost, death, empty",Social Isolation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.42,Joy,11,Summer,Flying,3,Flight & Escape,No,2025-08-03,"flying, ocean, water, sky",Identity Transformation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.88,Fear,24,Summer,Running,0,Performance Anxiety,Yes,2025-08-03,"trains, car, brakes, mountain, speed",Career Uncertainty
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.78,Joy,15,Summer,Talking,2,Relational Connection,No,2025-08-03,"garden, family, partners, talking, flowers",Relationship Instability
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.79,Joy,25,Summer,Talking,2,Relational Connection,No,2025-08-03,"garden, family, partners, talking, flowers",Relationship Instability
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.7,Sadness,20,Fall,Observing,1,Existential Transformation,No,2025-08-03,"room, crying, lost, death, empty",Social Isolation
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.68,Anger,25,Spring,Running,0,Performance Anxiety,No,2025-08-03,"monster, forest, chased, running, shadow",Loss of Control
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.32,Sadness,18,Winter,Observing,1,Existential Transformation,No,2025-08-04,"room, crying, lost, death, empty",Social Isolation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.41,Joy,24,Summer,Talking,2,Relational Connection,No,2025-08-04,"garden, family, partners, talking, flowers",Relationship Instability
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.81,Anger,22,Spring,Running,0,Performance Anxiety,Yes,2025-08-04,"exam, schools, maze, late, corridors",Career Uncertainty
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.28,Anger,22,Summer,Running,0,Performance Anxiety,No,2025-08-04,"exam, schools, maze, late, corridors",Career Uncertainty
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.31,Fear,22,Fall,Falling,3,Flight & Escape,No,2025-08-04,"falling, building, skyscraper, heights",Loss of Control
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.76,Sadness,20,Spring,Observing,1,Existential Transformation,No,2025-08-04,"room, crying, lost, death, empty",Social Isolation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Negative,-0.25,Fear,12,Spring,Flying,3,Flight & Escape,No,2025-08-04,"flying, ocean, water, sky",Identity Transformation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.85,Joy,20,Summer,Flying,3,Flight & Escape,No,2025-08-04,"flying, ocean, water, sky",Identity Transformation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.48,Joy,21,Spring,Flying,3,Flight & Escape,No,2025-08-04,"flying, ocean, water, sky",Identity Transformation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.57,Fear,21,Summer,Running,0,Performance Anxiety,No,2025-08-04,"trains, car, brakes, mountain, speed",Career Uncertainty
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.64,Fear,25,Fall,Observing,0,Performance Anxiety,No,2025-08-04,"exams, schools, test, classroom",Academic Pressure
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Positive,0.5,Joy,21,Winter,Observing,0,Performance Anxiety,Yes,2025-08-04,"exams, schools, test, classroom",Academic Pressure
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Neutral,-0.03,Neutral,24,Fall,Talking,2,Relational Connection,No,2025-08-04,"garden, family, partners, talking, flowers",Relationship Instability
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.57,Joy,25,Winter,Talking,2,Relational Connection,No,2025-08-04,"garden, family, partners, talking, flowers",Relationship Instability
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Positive,0.78,Surprise,24,Summer,Running,0,Performance Anxiety,No,2025-08-04,"trains, car, brakes, mountain, speed",Career Uncertainty
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.81,Fear,22,Winter,Observing,1,Existential Transformation,No,2025-08-04,"teeth, falling, mirror, body",Identity Transformation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Positive,0.79,Surprise,29,Winter,Observing,0,Performance Anxiety,No,2025-08-04,"exams, schools, test, classroom",Academic Pressure
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Positive,0.88,Surprise,14,Spring,Running,0,Performance Anxiety,Yes,2025-08-04,"exam, schools, maze, late, corridors",Career Uncertainty
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Positive,0.92,Surprise,17,Winter,Running,0,Performance Anxiety,No,2025-08-04,"trains, car, brakes, mountain, speed",Career Uncertainty
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.81,Joy,25,Winter,Talking,2,Relational Connection,No,2025-08-04,"garden, family, partners, talking, flowers",Relationship Instability
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.75,Joy,16,Spring,Flying,3,Flight & Escape,Yes,2025-08-04,"flying, ocean, water, sky",Identity Transformation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Positive,0.52,Surprise,15,Fall,Running,0,Performance Anxiety,No,2025-08-04,"trains, car, brakes, mountain, speed",Career Uncertainty
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.78,Fear,25,Fall,Falling,3,Flight & Escape,No,2025-08-04,"falling, building, skyscraper, heights",Loss of Control
